University Name,Program Title,Program Link,Area of Study,Target Group,Focus
University of Würzburg,China Business and Economics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-wuerzburg-china-business-and-economics-w39746/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w39746&hec-offset=284,"['Chinese Studies', 'International Business Administration']",Sinologists (without or with rudimentary prior knowledge of economics),
University of Würzburg,China Language and Economy,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-wuerzburg-china-language-and-economy-w39747/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w39747&hec-offset=285,"['Chinese Studies', 'International Business Administration']",Economists with no (or rudimentary) prior knowledge of the Chinese language,
University of Würzburg,Chinese Studies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-wuerzburg-chinese-studies-w15511/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w15511&hec-offset=286,"['Chinese Studies', 'Asian Studies']",Sinologists,Transformation and Particularity in China
University of Leipzig,Chinese Studies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-leipzig-chinese-studies-w30069/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w30069&hec-offset=287,Chinese Studies,,
University of Erlangen-Nuremberg,Chinese Studies with an Optional Focus,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-chinese-studies-with-an-optional-focus-w68494/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w68494&hec-offset=288,Chinese Studies,,"Development Economics and International Studies (with prior knowledge), English Studies and American Studies (without prior knowledge), English and American Studies (with prior knowledge), History (without prior knowledge), History (with prior knowledge), Economics (without prior knowledge), Political Science (without prior knowledge), Political Science (with prior knowledge), Chinese Studies"
Palucca University of Dance Dresden,Choreography,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/palucca-university-of-dance-dresden-choreography-w5977/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w5977&hec-offset=289,Dance,"Choreographers, dancers and dance educators","Movement Generation, Composition and Music Theory, Dance History and Dance Theory, Space Concept Research, Communication and Management, Applied Dramaturgy, Practical Stage Design and Theatre Technology, New Media, Psychology and Pedagogy, Artistic Process, Analysis and Transmission"
Berlin University of Technology,Civil Systems Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/berlin-university-of-technology-civil-systems-engineering-w64532/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w64532&hec-offset=290,Civil Engineering,,"Process Modelling, Whole-Life Cycle Analysis of Civil Systems, Integrated Collaborative Civil Systems Engineering, Data Engineering, Construction informatics"
University of Erlangen-Nuremberg,Clean Energy Processes,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-clean-energy-processes-w64716/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w64716&hec-offset=291,"['Chemical Engineering', 'Renewable Energies', 'Power Engineering', 'Sustainability Sciences (Ecological)']",,"Process Engineering, Sustainable Chemical Processes, Sustainable Energy Production, Energy Storage"
Weihenstephan-Triesdorf University of Applied Sciences,Climate Change Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/weihenstephan-triesdorf-university-of-applied-sciences-climate-change-management-w64595/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w64595&hec-offset=292,"['Ecology', 'Nature Conservation, Environmental Protection', 'Environmental Science']",,"Climate, Climate Change Management, Land-use and Nature Management, Mitigation and adaptation strategies for forestry and agriculture, among others"
Kiel University,Climate Physics: Meteorology and Physical Oceanography,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/kiel-university-climate-physics-meteorology-and-physical-oceanography-w20443/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w20443&hec-offset=293,"['Meteorology', 'Oceanography']",,
University of Potsdam,"Climate, Earth, Water, Sustainability",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-climate-earth-water-sustainability-w64854/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w64854&hec-offset=294,"['Geoecology', 'Geosciences', 'Hydrology', 'Applied Computer Science', 'Environmental Science', 'Sustainability Sciences (Ecological)']","Persons with a first professional degree in geoecology or physics of at least 180 CP\; or with a first professional degree in the natural sciences with proof of successfully completed modules of at least 12 CP each in physics, earth and environmental sciences and mathematics, as well as at least another 12 CP in the natural sciences.",
University of Potsdam,Clinical Exercise Science,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-clinical-exercise-science-w41365/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w41365&hec-offset=295,"['Sport', 'Sports Science', 'Sports Therapy']","- People with a suitable undergraduate degree
- the conditions for entrance and admission can be found in the admission regulations: see www.uni-potsdam.de/studium/konkret/rechtsgrundlagen/zulassungsordnungen-fuer-master",
DIU - Dresden International University GmbH,Clinical Research (M.Sc.),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/diu-dresden-international-university-gmbh-clinical-research-msc-w48914/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w48914&hec-offset=296,Health Science,,"Basics of Clinical Research - Theory, Advanced Clinical Research - Applications, Innovations of Clinical Research"
University of Osnabrück,Cognitive Computing,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-osnabrueck-cognitive-computing-w63932/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w63932&hec-offset=297,"['Computational Linguistics', 'Neuroscience']","Graduates of a Bachelor's degree course in a suitable subject, e.g. (Business) Informatics, Artificial Intelligence, Cognitive Science, (Computer) Linguistics, Mathematics, Natural Sciences, Engineering Sciences or a degree course with a high proportion of computer science, possibly with additional requirements.","Artificial Intelligence, Neuroscience, Computational Linguistics, Neuroinformatics"
Ludwig Maximilians University Munich,Cognitive Neuropsychology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ludwig-maximilians-university-munich-cognitive-neuropsychology-w44554/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w44554&hec-offset=298,Neuropsychology,,
Rhineland-Palatinate Technical University of Kaiserslautern-Landau,Cognitive Science,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhineland-palatinate-technical-university-of-kaiserslautern-landau-cognitive-science-w38641/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=15&hec-id=w38641&hec-offset=299,Neuroscience,"Students from the fields of social studies, psychology, 
computer science, biology, physics, linguistics and literary studies, who wish to gain research skills in cognitive sciences and are interested in the social relevance of topics such as artificial intelligence and interactions between humans and machines.",
Ruhr University Bochum,Cognitive Science,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ruhr-university-bochum-cognitive-science-w40119/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w40119&hec-offset=300,Neuroscience,,Cognitive Science
University of Potsdam,Cognitive Science,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-cognitive-science-w53175/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w53175&hec-offset=301,"['Psychology', 'General Linguistic Science', 'Neuroscience']","- People with a suitable undergraduate degree
- the conditions for entrance and admission can be found in the admission regulations: see www.uni-potsdam.de/studium/konkret/rechtsgrundlagen/zulassungsordnungen-fuer-master",
University of Osnabrück,Cognitive Science,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-osnabrueck-cognitive-science-w6156/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w6156&hec-offset=302,"['Psychology', 'Philosophy', 'Computational Linguistics', 'Neuroscience']","Graduates of the Bachelor's degree in Cognitive Science or closely related courses of study such as Artificial Intelligence, Biology, Computer Science, (Computer) Linguistics, Mathematics, Neurosciences, Medicine, Philosophy, Psychology or a degree course with a high proportion of computer science content, if necessary with additional conditions depending on their subject aptitude.","Artificial Intelligence, Cognitive Psychology, Neuroscience, (Computational) Linguistics, Neuroinformatics, Philosophy of Cognition"
Technical University of Darmstadt,Cognitive Science,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-cognitive-science-w63850/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w63850&hec-offset=303,"['Psychology', 'Computer Science']",,Cognitive Science
University of Ulm,Cognitive Systems,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-ulm-cognitive-systems-w47553/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w47553&hec-offset=304,"['Business, Occupational, and Organisational Psychology', 'Computer Science']","The inter-disciplinary Master's degree course is aimed at students with a Bachelor's degree in Computer Science, Psychology or the Cognitive Sciences.","Computer Vision and Pattern Recognition, Language Comprehension and Dialogue Systems, Cognitive Neurosciences, Companion Systems, Learning Psychology and Serious Games, Human-Computer Interaction and Human Factors, Cognitive Ergonomics, Perceptual and Attentive User Interfaces, Spatial Cognition"
University of Potsdam,"Cognitive Systems: Language, Learning and Reasoning",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-cognitive-systems-language-learning-and-reasoning-w44744/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w44744&hec-offset=305,"['Applied Computer Science', 'Computational Linguistics', 'Linguistics']","- People with a suitable undergraduate degree
- the conditions for entrance and admission can be found in the admission regulations: see www.uni-potsdam.de/studium/konkret/rechtsgrundlagen/zulassungsordnungen-fuer-master",
RWTH Aachen University,"Cognitive, Digital and Empirical English Studies",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rwth-aachen-university-cognitive-digital-and-empirical-english-studies-w64764/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w64764&hec-offset=306,English Studies,,
Rhineland-Palatinate Technical University of Kaiserslautern-Landau,Commercial Vehicle Technology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhineland-palatinate-technical-university-of-kaiserslautern-landau-commercial-vehicle-technology-w21688/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w21688&hec-offset=307,Vehicle Engineering,,
Quadriga Hochschule Berlin,Communication & Leadership,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/quadriga-hochschule-berlin-communication-leadership-w44244/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w44244&hec-offset=308,"['Communication Studies', 'Economic Sciences, Economics', 'Guidance']","The MBA Communication & Leadership is aimed at professionals from the areas of marketing, PR or organisational communication who want to promote their careers in a targeted manner and who want to take on more responsibility.
An efficient and interactive course of study is promoted through relevant professional experience and a first academic degree. In this way, our students benefit from the exchange with their fellow students from different industries even long after completing their studies.","Economics, Management, Public Affairs, Communication Management, Leadership, Corporate Communication"
University of Applied Sciences Neu-Ulm,Communication and Design for Sustainability,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-neu-ulm-communication-and-design-for-sustainability-w66713/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w66713&hec-offset=309,"['Business, Occupational, and Organisational Psychology', 'Design']",,
University of Ulm,Communication and Information Technology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-ulm-communication-and-information-technology-w5421/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w5421&hec-offset=310,"['Information Technology', 'Communications Technology', 'Microelectronics', 'Communications Engineering', 'Sensor Technology, Measurement Technology']","Bachelor's graduates in electrical engineering, communications engineering, information and communication technology or another subject with a strong focus on electrical engineering/telecommunications","Wireless Communication Technology, Microelectronics, High Frequency Engineering, Sensor Technology, Embedded Systems, Radar systems, RF technology"
University of Applied Sciences Offenburg,Communication and Media Engineering (CME),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-offenburg-communication-and-media-engineering-cme-w5333/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w5333&hec-offset=311,"['Communications Technology', 'Multimedia']",Above-average talented German and foreign students wishing to obtain further qualifications in communications and media technology,"Data Transmission, Information Processing, Management and Social Skills, Multimedia Techniques and Design"
Heidelberg University,Communication and Society in Ibero-America,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/heidelberg-university-communication-and-society-in-ibero-america-w64986/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w64986&hec-offset=312,"['Political Science', 'Cultural Studies', 'Latin American Studies']",,
MU Media University of Applied Sciences,Communication Design and Creative Strategies,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/mu-media-university-of-applied-sciences-communication-design-and-creative-strategies-w61911/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w61911&hec-offset=313,"['Communication Design', 'Media Design', 'Design']",,"Communication Design, Graphic Design, User Experience, UX, Human-Centred Design, Design Thinking, Brand Strategy, Strategic Communication, Design & Social Research, Visual Communication"
Technische Hochschule Köln,Communication Systems and Networks,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-koeln-communication-systems-and-networks-w41552/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w41552&hec-offset=314,Communications Technology,The international programme in 'Communication Systems and Networks (CSN)' offers students the opportunity to understand and use complex and modern communication systems and services productively.,
Munich University of Technology,Communications and Electronics Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-communications-and-electronics-engineering-w5581/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w5581&hec-offset=315,"['Communications Technology', 'Communications Engineering']",,"Communications Systems, Communications Electronics"
University of Bremen,Communications and Information Technology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bremen-communications-and-information-technology-w6072/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w6072&hec-offset=316,"['Electrical Engineering', 'Information Technology', 'Communications Technology']","Graduates (university of applied sciences/university) in electrical engineering
Applicants interested in communication and information technology.","Communications Technology, Communications Technology Lab, Semiconductor Devices, Microwave Engineering, Microwave Techniques Lab, Communication Networks, RF-Front-End Devices and Active Circuits for Wireless Communications, Channel Coding"
University of Erlangen-Nuremberg,Communications and Multimedia Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-communications-and-multimedia-engineering-w41148/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w41148&hec-offset=317,"['Electrical Engineering', 'Information Technology', 'Communications Technology']",,
Technische Universität Ilmenau,Communications and Signal Processing,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-universitaet-ilmenau-communications-and-signal-processing-w19130/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w19130&hec-offset=318,"['Information Technology', 'Communications Technology', 'Communications Engineering']",,"Antenna Engineering, Microwave Engineering, Mobile Communications, Communication Networks, Coding, Signal Transmission, Mobile Communications, Computer Science, Engineering Science, Engineering"
University of Europe for Applied Sciences,Communications Design (English),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-europe-for-applied-sciences-communications-design-english-w65427/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=16&hec-id=w65427&hec-offset=319,Communication Design,,
Eberhard Karls University Tübingen,Comparative & Middle East Politics and Society (CMEPS),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberhard-karls-university-tuebingen-comparative-middle-east-politics-and-society-cmeps-w41735/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w41735&hec-offset=320,Political Science,"The M. A. in  Comparative & Middle East Politics and Society (CMEPS) is a two-year masters program jointly offered by the University of Tübingen and the American University in Cairo (AUC). It provides in-depth knowledge of the political and societal developments in the Middle East as well as analytical tools for under-standing this regions complex dynamics and challenges.
The focal point of the degree program is the relationship between societies and states in the MENA region as well as the dynamics of social and political transformation. Key topics are Comparative Politics of the Middle East, development politics and international cooperation, as well as issues of regime change and democratization. Students can choose from a range of elective modules, concentrating, for example, on International Political Economy, Peace and Conflict Resolution, or on issues in Middle Eastern culture and civil societies. Depending on their first degree, students of the CMEPS program will also take courses in either Political Science methods or basic Arabic (or German, respectively) during their first year. Irrespective of their first degree, by the end of their studies CMEPS students will have a unique profile which combines an advanced analytical knowledge of Comparative Politics with a strong specialisation in the politics, society, cultures, and language of the Arab Middle East.
To promote the link between theory and practice, study trips to international organisations and development agencies as well as to important political and cultural institutions of the respective host country are included in the program.","Middle East Studies, Democratisation and Regime Change, Development Policy, International Cooperation, Comparative Political Science"
Frankfurt University,Comparative Democracy,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/frankfurt-university-comparative-democracy-w67855/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w67855&hec-offset=321,Political Science,,"Politics, Society, Economics, Culture, Social Sciences"
Frankfurt University,Comparative Dramaturgy and Peformance Reseach,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/frankfurt-university-comparative-dramaturgy-and-peformance-reseach-w59596/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w59596&hec-offset=322,Media Studies,,"Theatre Studies, Theatre Research, Dramaturgy, Theory, History and Analysis of Theatre, General and Comparative Drama Studies, Critical Theory, Post-Structuralism and Alterity, Theatre, Society, Theory and Politics, Dramaturgical Reading, Theatre Technology"
Humboldt University Berlin,"Comparative Law Studies in German, European and Chinese Law",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/humboldt-university-berlin-comparative-law-studies-in-german-european-and-chinese-law-w46702/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w46702&hec-offset=323,International Law,,"Intellectual Property Law, International Law, Economic Law, Company Law"
University of Münster,Comparative Public Governance,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-muenster-comparative-public-governance-w60721/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w60721&hec-offset=324,Administrative Studies,,
University of Düsseldorf,"Comparative Studies in English and American Language, Literature and Culture",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-duesseldorf-comparative-studies-in-english-and-american-language-literature-and-culture-w41436/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w41436&hec-offset=325,"['English Studies', 'American Studies']",,"America Studies, Anglophone Literatures and Cultures, Modern English Literature, Medieval Culture of Great Britain: Language and Literature, Linguistics"
University of Regensburg,Complex Condensed Materials and Soft Matter,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-regensburg-complex-condensed-materials-and-soft-matter-w15262/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w15262&hec-offset=326,Chemistry,Graduates with a first science or engineering degree,
University of Erlangen-Nuremberg,Computational and Applied Mathematics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-computational-and-applied-mathematics-w58457/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w58457&hec-offset=327,Technomathematics,,
University of Cologne,Computational Biology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-cologne-computational-biology-w68567/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w68567&hec-offset=328,Biology,,
University of Göttingen,Computational Biology and Bioinformatics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-goettingen-computational-biology-and-bioinformatics-w65338/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w65338&hec-offset=329,"['Biology', 'Bioinformatics', 'Computer Science']",,
Ruhr University Bochum,Computational Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ruhr-university-bochum-computational-engineering-w6061/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w6061&hec-offset=330,Computer Science,International and German students with first professionally qualifying degree,
University of Erlangen-Nuremberg,Computational Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-computational-engineering-w6164/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w6164&hec-offset=331,"['Electrical Engineering', 'Mechanical Engineering', 'Engineering Informatics']","Bachelor's degree or equivalent qualification in Computer Science, a related scientific or technical field or in Mathematics.","Computer Science, Mathematics, Mechatronics, Optics and Photonics, Information Technology, Thermal and Fluid Dynamics, Solid State Mechanics and Dynamics, Computational Materials Science, Medical Technology, Automatic Control Technology"
University of Rostock,Computational Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-rostock-computational-engineering-w7029/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w7029&hec-offset=332,Computer Engineering,,"Applied Mathematics, Computational Methods, Software Concepts, Data Management, Visualisation"
University of Stuttgart,Computational Linguistics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-stuttgart-computational-linguistics-w39397/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w39397&hec-offset=333,"['Computer Science', 'Computational Linguistics']","Graduates with a degree in a Bachelor's course of at least six semesters (or equivalent degree) in Mechanical Language Processing, Computer Linguistics, Computer Science or in a course with related content.","Computer Linguistics, Natural Language Processing, Natural Language Processing, Applied Linguistics, Computer Science, Programming"
Freiberg University of Mining and Technology,Computational Materials Science,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/freiberg-university-of-mining-and-technology-computational-materials-science-w60371/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w60371&hec-offset=334,Mechanical Engineering,,
University of Passau,Computational Mathematics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-passau-computational-mathematics-w59180/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w59180&hec-offset=335,"['Computer Science', 'Applied Mathematics', 'Statistics']",,"Algebra, Geometry and Cryptography, Mathematical Logic and Discrete Mathematics, Analysis, Numerics and Approximation Theory, Dynamical Systems and Optimisation, Stochastics, Statistics, Data Analysis and Data Management and Programming, Key Competencies and Language Training, Applications"
Munich University of Technology,Computational Mechanics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-computational-mechanics-w6207/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w6207&hec-offset=336,"['Civil Engineering', 'Mechanical Engineering', 'Applied Computer Science']",,"Artificial intelligence & Uncertainty Quantification, Civil Engineering, Mechanical Engineering, Automotive and Aerospace Engineering, Biomechanics"
University of Stuttgart,Computational Mechanics of Materials and Structures (COMMAS),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-stuttgart-computational-mechanics-of-materials-and-structures-commas-w5968/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w5968&hec-offset=337,"['Civil Engineering', 'Materials Science']","German and international students with a degree of at least six semesters in civil engineering, mechanical engineering, mechatronics, physics, aerospace engineering, process engineering, technical cybernetics, energy engineering or a related course.","Modelling, Simulation"
University of Hannover,Computational Methods in Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hannover-computational-methods-in-engineering-w57774/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w57774&hec-offset=338,"['Information Technology', 'Communications Technology', 'Engineering Informatics']",,"Mathematics, Computer Science, Mechanics, Modelling, Simulation"
University of Magdeburg,Computational Methods in Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-magdeburg-computational-methods-in-engineering-w68078/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w68078&hec-offset=339,"['Electrical Engineering', 'Mechanical Engineering', 'Software Engineering', 'Applied Mathematics']",,
Technische Universität Dresden,Computational Modelling and Simulation,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-universitaet-dresden-computational-modelling-and-simulation-w61589/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w61589&hec-offset=340,"['Mechanical Engineering', 'Applied Computer Science', 'Bioinformatics', 'Computer Science', 'Applied Mathematics']",,"Computational Life Sciences, Computer Mathematics, Visual Computing, Computational Engineering, Computational Modelling in Energy Economics, Logic Modelling, Applied Artificial Intelligence (from winter semester of 2023/24)"
Berlin University of Technology,Computational Neuroscience,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/berlin-university-of-technology-computational-neuroscience-w15527/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w15527&hec-offset=341,"['Biology', 'Medical Informatics']",Graduates in a science or engineering subject or mathematics,
Eberhard Karls University Tübingen,Computational Neuroscience,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberhard-karls-university-tuebingen-computational-neuroscience-w32499/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w32499&hec-offset=342,"['Neuropsychology', 'Computer Science']","Area of Study and Research
The latest offshoot, the Graduate School of Neural Information Processing, started teaching in the winter term of 2011. This school covers theoretical and computational aspects of neuroscience, a field of research that has become increasingly important in the past years.
Apart from the Centre for Integrative Neuroscience CIN, major partners of this graduate school are the Tübingen Bernstein Centre for Computational Neuroscience BCCN and the newly established MPI for Intelligent Systems, which provide in addition to financial support scientists who make a considerable contribution to teaching and laboratory training.
Teaching Program   Curricular Focus
-  neural data analysis and models of neural coding and computation,
-  computational motor control and computational vision,
-  rehabilitation robotics and brain-computer interfaces,
-  physical and physiological basis of neural recordings and brain imaging,
-  systems neuroscience and neurophysiology,
-  basic mechanisms of learning and memory,
-  mathematics, statistics and programming,
-  machine learning for neuroscience,
-  theoretical neuroscience,
-  behaviour and cognition.","Computational Neuroscience, Neurobiology, Computer Science, Bioinformatics, Neuroinformatics, Artificial Intelligence, Neurophysics"
Humboldt University Berlin,Computational Neuroscience,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/humboldt-university-berlin-computational-neuroscience-w68436/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w68436&hec-offset=343,Neuroscience,,
University of Regensburg,Computational Science,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-regensburg-computational-science-w42180/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w42180&hec-offset=344,"['Biochemistry', 'Mathematics', 'Physics']",,"Computational Science, Physics, Mathematics, Genomics"
Munich University of Technology,Computational Science and Engineering (CSE),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-computational-science-and-engineering-cse-w6204/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w6204&hec-offset=345,"['Computer Science', 'Applied Mathematics']",,"Numerical Analysis, Computer Architecture and Networks, Parallel Programming, Programming of Supercomputers, Visualisation, Computational Fluid Mechanics"
Free University Berlin,Computational Sciences,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/free-university-berlin-computational-sciences-w54278/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w54278&hec-offset=346,"['Applied Computer Science', 'Applied Mathematics']",,
University of Cologne,Computational Sciences,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-cologne-computational-sciences-w65825/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w65825&hec-offset=347,Mathematics,,
